mjolnir_agnomens;original_samples;date;group;position
ULO4_sample_042;09_03_M1_A_C;2017_09_03;cage;cage_M1
ULO4_sample_043;09_03_M1_B_C;2017_09_03;cage;cage_M1
ULO4_sample_044;09_03_M1_C_C;2017_09_03;cage;cage_M1
ULO4_sample_047;09_03_M2_A_C;2017_09_03;cage;cage_M2
ULO4_sample_048;09_03_M2_B_C;2017_09_03;cage;cage_M2
ULO4_sample_049;09_03_M2_C_C;2017_09_03;cage;cage_M2
ULO4_sample_052;09_03_M3_A_C;2017_09_03;cage;cage_M3
ULO4_sample_053;09_03_M3_B_C;2017_09_03;cage;cage_M3
ULO4_sample_054;09_03_M3_C_C;2017_09_03;cage;cage_M3
ULO4_sample_057;blank_09_03B;blank;blank;blank
ULO4_sample_058;09_03_N1_A_O;2017_09_03;outside;north
ULO4_sample_059;09_03_N1_B_O;2017_09_03;outside;north
ULO4_sample_060;09_03_N1_C_O;2017_09_03;outside;north
ULO4_sample_069;09_03_S1_A_O;2017_09_03;outside;south
ULO4_sample_070;09_03_S1_B_O;2017_09_03;outside;south
ULO4_sample_071;09_03_S1_C_O;2017_09_03;outside;south
